position,title,snippet,link,displayed_link,highlighs
14,ET NOW,Earnings With ET NOW | L&T reports its Q3 results; here are the key highlights. @larsentoubro · @IamAnkitaS_ · @sanjiv_bhasin.,https://twitter.com/ETNOWlive/status/1752324297572667710,https://twitter.com › ETNOWlive › status,['larsentoubro']
15,Indian Chemical News,"@larsentoubro · L&T wins orders from Middle East for Hydrocarbon Business · From indianchemicalnews.com · 8:04 AM · Feb 14, 2024. ·. 101. Views.",https://twitter.com/chemical_news/status/1757677057356554729,https://twitter.com › chemical_news › status,['larsentoubro']
16,Larsen & Toubro,"MoU signed by VAdm Sandeep Naithani, Chief of Materiel #IndianNavy & Mr Jayant D Patil, Whole-Time Director, @larsentoubro to collaborate on ...",https://twitter.com/larsentoubro/status/1517360024708083713,https://twitter.com › larsentoubro › status,['larsentoubro']
17,YSR Congress Party,"Congratulations @larsentoubro, for securing the prestigious project from GMR Visakhapatnam International Airport Limited!",https://twitter.com/YSRCParty/status/1721702810742649091,https://twitter.com › YSRCParty › status,
18,CNBC-TV18,@larsentoubro. is in the race for a mega deal as #SaudiAramco is nearing $5 billion tender decision on world's largest offshore oilfield ...,https://twitter.com/CNBCTV18News/status/1743210809789206812,https://twitter.com › status,['larsentoubro']
19,CNBC-TV18,"@larsentoubro. ) reported mixed Q3FY24 numbers. Order inflow was strong, but core margin remained muted. The mgmt tells CNBC-TV18 that they ...",https://twitter.com/CNBCTV18News/status/1752522667083911416,https://twitter.com › status,['larsentoubro']
20,ET NOW,"Larsen commisions hydrogen electrolyser at Hazira: Agencies. @larsentoubro. Image. 3:49 AM · Mar 1, 2024.",https://twitter.com/ETNOWlive/status/1763411184555061598,https://twitter.com › ETNOWlive › status,['larsentoubro']
21,INJS -Fair Launch,@larsentoubro. has signed a contract worth between USD 1.2 billion and USD 1.8 billion for a project in the Middle East. #oilandgas ...,https://twitter.com/inj_inscriplion/status/1727277265833066962,https://twitter.com › inj_inscriplion › status,['larsentoubro']
22,Financial Express,@larsentoubro. ) said that its Hydrocarbon business (L&T Energy Hydrocarbon – LTEH) has received a Letter of Intent for a mega offshore order ...,https://twitter.com/FinancialXpress/status/1726533190477848832,https://twitter.com › FinancialXpress › status,['larsentoubro']
23,SCHWING Stetter India,"@larsentoubro. , L&T-IHI,. @TataCompanies. , and. @MMRDAOfficial. on inaugurating India's longest sea bridge, the Atal Setu Mumbai Trans Harbour ...",https://twitter.com/SchwingIndia/status/1745793291638243767,https://twitter.com › SchwingIndia › status,['larsentoubro']
24,CNBC-TV18,"@larsentoubro. is under pressure on the back of mixed #Q3FY24 numbers. Co sees strong order inflow of Rs 76,000 crore, while margin comes in ...",https://twitter.com/CNBCTV18News/status/1752559692558307391,https://twitter.com › status,['larsentoubro']
25,Moneycontrol,larsentoubro @rachitaprasad @Yaruqh_K L&T Ltd will exceed its #revenue and order inflow targets for 2023-24 due to the strong order momentum ...,https://twitter.com/moneycontrolcom/status/1754451730719461594,https://twitter.com › moneycontrolcom › status,
26,Business Insider India,"L&T profit after tax grows 15% to Rs 2,947 cr in December quarter. @larsentoubro · #India #business #LarsenToubroResults ...",https://twitter.com/BiIndia/status/1752564872058184148,https://twitter.com › BiIndia › status,['larsentoubro']
27,ET NOW,"... for Advanced Distribution Management System (From Agencies). @larsentoubro · #construction #power #StockMarket. Image. 7:09 AM · Mar 27, 2023. ·. 2,111.",https://mobile.twitter.com/ETNOWlive/status/1640249718721716226,https://mobile.twitter.com › ETNOWlive › status,['larsentoubro']
28,Financial Express,@larsentoubro. ) said that its Hydrocarbon Business (L&T Energy Hydrocarbon – LTEH) has secured Letter of Intent for yet another Ultra-Mega ...,https://twitter.com/FinancialXpress/status/1719231605720662367,https://twitter.com › FinancialXpress › status,['larsentoubro']
29,Sanjay Poonen,"Great to host the @larsentoubro CEO, Mr SNS and his team, at @Cohesity recently. Ton of respect for them, from my growing up days in ...",https://twitter.com/spoonen/status/1662207358817439745,https://twitter.com › spoonen › status,
30,"Bentley Systems, Inc","... within four months, compared to 12 to 13 months using traditional methods. @larsentoubro · #infrastructure 4/4. Image. 9:37 PM · Dec 5, 2023. ·.",https://twitter.com/BentleySystems/status/1732152112233021929,https://twitter.com › BentleySystems › status,['larsentoubro']
31,CNBC-TV18,"@larsentoubro. ) is in focus after positive mgmt commentary. Well on track to exceed #order inflow #FY24 guidance of 10-12%, says the co ...",https://twitter.com/CNBCTV18News/status/1719566094023688545,https://twitter.com › status,['larsentoubro']
32,BharatShakti.in,"@larsentoubro. for procurement of Close-in Weapon System for Rs 7,668.82 cr; procurement of High-Power Radar for Rs 5,700.13 cr ➡️ 2 with ...",https://twitter.com/BharatShaktiBSI/status/1763486285870797308,https://twitter.com › BharatShaktiBSI › status,['larsentoubro']
33,Economist Intelligence: EIU,@larsentoubro. digitise their operations and reskill their workforce? We asked CEO & MD S N Subrahmanyan. Listen to podcast > https://econ.st ...,https://twitter.com/TheEIU/status/1431149510206570500,https://twitter.com › TheEIU › status,['larsentoubro']
34,ET NOW,"... Shankar Raman; he also speaks on margins, legacy projects and more. @larsentoubro · #StockMarket. Embedded video. 0:53. 5:11 PM · Jan 30, 2024. ·. 4,226.",https://twitter.com/ETNOWlive/status/1752379104731730058,https://twitter.com › ETNOWlive › status,['larsentoubro']
35,Financial Express,"@larsentoubro. ) said, Shri Ram Janmbhoomi Mandir boasts dimensions of 161.75 feet in height, 380 feet in length, and 249.5 feet in width ...",https://twitter.com/FinancialXpress/status/1749313646268686454,https://twitter.com › FinancialXpress › status,['larsentoubro']
36,Anant Maheshwari,"@larsentoubro. is using tech to empower employees, across businesses, to be #FutureReady while improving overall efficiency & productivity ...",https://twitter.com/_MAnant/status/1511561642039201792,https://twitter.com › _MAnant › status,['larsentoubro']
37,Amiet R. Kashyap,"@larsentoubro. ) Awarded $11.5 Million FMS Contract by the U.S. Navy for Anchor Handling, Towing, Supply and Standby Vessel (AHTSSV) in ...",https://twitter.com/Amitraaz/status/1235657642183282690,https://twitter.com › Amitraaz › status,['larsentoubro']
38,Moneycontrol,"@larsentoubro · @Yaruqh_K · @rachitaprasad. | #LarsenAndToubro #Budget2024 · Government has shown continuity in policy, confidence that it will ...",https://twitter.com/moneycontrolcom/status/1754452645996310984,https://twitter.com › moneycontrolcom › status,['larsentoubro']
39,L&T Finance,"‍♂️✨ Set your benchmark on India's newest landmark - Atal Setu, Sewri, and feel Mumbai's spirit like never before. @larsentoubro.",https://twitter.com/LnTFinance/status/1758796496676463048,https://twitter.com › LnTFinance › status,['larsentoubro']
